Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Group Total,172.5,181.25,186.67,194.0,201.25,211.25,223.75,240.0,272.5,296.25,316.25,333.75,340.0,342.5,350.0,361.25,373.75,385.0,398.75,404.25,413.5,422.5,443.75,460.0
Berwick,187.5,198.75,200.0,210.0,216.5,225.0,237.5,251.75,285.25,317.5,333.75,350.0,350.0,350.0,357.75,368.75,380.0,390.0,397.5,396.25,398.75,410.0,445.0,470.0
Cranbourne,155.0,160.0,163.33,169.0,178.75,187.5,201.25,225.0,252.5,273.75,291.25,316.25,326.25,333.75,345.0,351.25,363.75,376.25,380.0,385.0,391.25,401.25,435.0,460.0
Dandenong,130.0,137.5,143.33,150.0,154.5,161.25,168.75,186.25,222.25,248.75,268.75,280.0,287.5,293.75,302.25,308.75,318.75,332.5,344.0,350.0,350.0,350.0,359.75,370.0
Dandenong North-Endeavour Hills,160.0,167.5,171.67,176.0,182.5,190.0,198.75,216.25,243.75,273.75,287.5,300.0,300.0,305.0,316.25,321.25,330.75,344.0,352.5,358.75,360.0,363.75,384.0,400.0
Narre Warren-Hampton Park,167.5,173.75,180.0,187.0,195.0,203.75,213.75,231.5,257.5,285.0,307.5,322.5,330.0,330.0,337.5,341.25,351.25,362.5,373.75,380.0,380.0,392.5,416.25,440.0
Noble Park,141.25,145.0,150.0,156.0,162.5,168.75,178.75,198.75,235.0,267.5,283.0,291.25,293.25,299.25,301.25,312.5,321.25,335.0,348.75,355.0,360.0,358.75,371.25,385.0
Pakenham,157.5,163.75,166.67,175.0,185.0,192.5,201.25,217.5,247.5,271.25,288.75,303.75,308.75,303.75,312.5,318.75,331.25,342.5,350.0,352.5,353.75,367.5,395.0,420.0
Springvale,146.25,151.25,158.33,165.0,171.25,176.25,189.25,212.75,255.0,283.75,300.0,308.75,318.75,320.0,328.75,342.75,352.5,367.5,381.25,393.5,396.75,390.0,403.75,430.0
Group Total,154.0,161.25,166.67,174.0,182.5,189.75,201.25,221.25,251.25,277.5,293.75,307.5,316.0,320.0,326.25,333.75,346.25,356.25,368.75,377.25,380.0,385.0,408.75,430.0
Dromana-Portsea,138.75,147.5,158.33,168.0,171.25,178.75,181.25,198.75,232.5,250.0,268.75,287.5,293.75,300.0,310.0,323.75,340.0,360.0,375.0,382.5,392.5,445.0,497.5,520.0
Frankston,151.25,157.5,163.33,173.0,180.0,187.5,195.0,211.25,238.75,257.5,274.0,292.5,296.25,300.0,303.75,315.0,328.75,343.25,356.25,361.25,371.25,386.25,425.0,450.0
Hastings-Flinders,145.0,151.25,163.33,175.0,181.25,187.5,198.75,213.75,238.75,261.25,276.25,297.5,300.0,300.25,315.75,321.25,337.5,355.0,372.5,387.5,405.0,427.5,475.0,500.0
Mt Eliza-Mornington-Mt Martha,176.25,190.0,203.33,217.0,228.75,233.75,246.25,261.25,297.5,318.75,342.5,365.0,373.75,385.0,393.75,409.5,425.0,450.0,462.5,485.0,494.75,546.25,597.5,600.0
Seaford-Carrum Downs,153.75,162.5,171.67,179.0,188.75,197.5,203.75,220.25,243.75,266.25,287.5,305.0,310.0,317.5,320.0,328.75,343.75,353.75,366.25,370.0,377.5,392.5,423.75,450.0
Group Total,151.25,160.0,168.33,178.0,183.75,192.5,201.25,218.75,242.75,265.0,285.0,301.25,310.0,312.5,321.25,330.0,346.25,360.0,376.25,382.5,393.75,417.5,460.25,485.0
Belmont-Grovedale,150.0,156.25,163.33,174.0,185.0,193.75,211.25,226.25,246.25,266.25,278.75,303.75,316.25,322.5,322.5,330.0,336.25,350.0,363.75,378.75,383.75,406.25,436.25,450.0
Corio,128.75,131.25,135.0,143.0,150.0,153.75,160.0,167.5,182.5,195.0,216.25,235.0,246.25,250.0,250.0,250.0,250.0,256.25,272.5,287.5,300.0,311.25,337.5,350.0
Geelong-Newcombe,138.75,146.25,155.0,163.0,177.5,183.25,188.75,202.5,221.25,246.25,262.5,285.0,290.0,295.0,300.0,300.0,307.5,315.0,326.25,345.0,352.5,371.25,406.0,425.0
Herne Hill-Geelong West,122.5,131.25,141.67,152.0,162.5,168.75,178.25,195.0,216.25,231.5,251.25,271.25,282.5,288.75,294.5,290.75,298.75,322.75,328.75,352.5,364.5,376.25,406.25,420.0
Lara,163.75,171.25,178.33,183.0,198.75,205.75,214.25,232.5,248.75,265.0,277.0,298.25,316.25,325.0,322.0,327.5,336.25,350.0,370.75,388.75,400.0,422.0,460.0,485.0
Newtown,142.5,151.25,160.0,170.0,178.75,192.5,198.75,210.0,238.75,256.25,273.75,297.75,304.5,305.0,313.75,320.0,327.5,350.0,361.25,378.75,390.75,407.5,432.5,450.0
North Geelong,136.5,145.0,151.67,161.0,171.25,181.25,188.75,201.25,223.75,242.5,261.25,278.75,297.5,295.0,298.75,307.5,310.0,322.0,338.0,348.75,355.0,377.0,407.5,430.0
Group Total,138.75,145.0,151.67,163.0,172.5,181.25,190.0,203.75,226.25,246.25,260.0,280.0,291.75,296.25,300.0,300.0,307.5,320.0,335.0,351.25,361.25,382.5,411.25,425.0
Ballarat,137.0,141.25,150.0,160.0,171.25,178.75,182.5,187.5,205.0,219.0,230.0,243.75,252.5,260.0,261.25,265.0,266.25,275.0,287.5,307.5,317.5,331.25,355.0,360.0
